idx,name,score,writer,age_limit
1,인생존망,9.85,박태준,0
2,독립일기,9.97,자까,0
3,모죠의 일지,9.97,모죠,0
4,한림체육관,9.72,혜성,0
5,유미의 세포들,9.93,이동건,0
6,호랑이 들어와요,9.94,배세혁,0
7,삼국지톡,9.94,무적핑크,0
8,약한영웅,9.90,서패스,0
9,겟백,9.98,세윤,0
10,칼가는 소녀,9.97,오리,0
11,닥터앤닥터 육아일기,9.98,닥터베르,0
12,나쁜사람,9.86,둠스,0
13,화장 지워주는 남자,9.94,이연,0
14,오늘의 순정망화,9.98,손하기,0
15,병의 기록,9.76,베어리,0
16,오로지 너를 이기고 싶어,9.96,아마도지,0
17,윌유메리미,9.93,마인드C,0
18,회춘,9.73,기안84,0
19,노곤하개,9.98,홍끼,0
20,언덕 위의 제임스,9.92,쿠당탕,0
21,범이올시다!,9.98,해,0
22,헬프미,9.23,철준,0
23,진짜 정말 맹세코 좋아해,9.87,개차반,0
24,홍시는 날 좋아해!,9.97,강하다,0
25,서브 콤플렉스,9.94,소이,0
26,웰캄투실버라이프,9.97,솔녀,0
27,자판귀,9.95,윤정민,0
28,마음의소리,9.86,조석,0
29,인터셉트,9.92,임주이,0
30,대학일기,9.97,자까,0
31,수상한 비밀상담부,9.93,149,0
32,불발소년,9.85,곤세,0
33,조선왕조실톡,9.89,무적핑크,0
34,다함께 이겨내요,9.88,웹툰작가,0
35,MLB카툰,8.04,최훈,0
36,만물의 영장,9.98,보민,0
37,놓지마 정신줄,9.92,신태훈,0
38,2020 최애캐의 MBTI,9.65,웹툰작가,0
39,힘내요 일본!-[릴레이웹툰],6.99,웹툰작가,0
40,수능일기,9.98,자까,0
41,역전! 야매요리,9.83,정다정,0
42,놓지마 정신줄 시즌2,9.95,신태훈,0
43,세상은 돈과 권력,9.89,한동우,0
44,밥 먹고 갈래요?,9.97,오묘,0
45,와탕카,9.63,우주인,0
46,돼지만화,4.56,돼지작가,0
47,웅이는 배고파,9.73,박웅,0
48,선천적 얼간이들,9.98,가스파드,0
49,낢이 사는 이야기,9.81,서나래,0
50,골방환상곡,9.92,워니,0
51,공감.jpg,4.43,임총,0
52,2019 루키 단편선-지옥캠프,9.88,웹툰작가,0
53,오빠 왔다,9.70,모나,0
54,생활의참견,9.95,김양수,0
55,나는 귀머거리다,9.98,라일라,0
56,플라워(FLOWAR),9.93,홍작가,0
57,패밀리 사이즈,9.96,남지은,0
58,터치! 메리크리스마스,9.78,웹툰작가,0
59,203호 저승사자,9.91,샤니,0
60,공포단편선X,9.71,김대일,0
61,달콤한 인생,9.95,이동건,0
62,자취로운 생활,9.96,츄카피,0
63,와라! 편의점,9.85,지강민,0
64,가우스전자 시즌3~4,9.97,곽백수,0
65,아랫집 시누이,9.95,김진,0
66,지옥,9.77,연상호,0
67,스퍼맨: 현자단의 역습,9.95,하일권,0
68,2019 병영일기,9.83,웹툰작가,0
69,Penguin loves Mev,9.96,펭귄,0
70,트라우마,9.92,곽백수,0
