제목,작가,평점,장르,연령,한줄 스토리,스토리 키워드,학원물
인생존망,박태준 / 전선욱,9.85,"에피소드, 액션",0,학교 다닐때 날 지독하게 괴롭힌 너 때문에 난 인생이 망했어.그런데 왜 넌 안 망하고 오히려 더 떵떵거리며 사는거야?너도 한번 내가 되어서 너한테 똑같이 당해봐!!,"['한번', '학교', '내가', '인생']",1
독립일기,자까,9.97,"에피소드, 일상",0,처음으로 나만의 집이 생긴다면? 자까 작가의 나혼자 사는 이야기,"['혼자', '처음']",0
모죠의 일지,모죠,9.97,"에피소드, 개그",0,소신있는 취향과 내성적인 성향.훌륭한 집순이 모죠의 은밀한 비밀들,"['소신', '내성', '비밀', '취향', '성향', '내성적']",0
한림체육관,혜성 / 이석재,9.72,"에피소드, 액션",0,'세상에서 가장 강한 남자가 되고 싶다.'그릇된 강함을 실천하던 전영하가 한림체육관에 들어와 진정한 강함을 깨닫고 무도인으로 거듭나는 학원 액션물,"['영하', '학원', '액션물', '그릇', '한림', '진정', '무도', '실천', '세상', '체육관']",1
유미의 세포들,이동건,9.93,"에피소드, 로맨스",0,유미는 지금 무슨 생각을 하고 있을까?그녀의 머릿속에서 바쁘게 움직이는 세포들 이야기!,"['머릿속', '생각', '유미', '세포']",0
호랑이 들어와요,배세혁 / 유은,9.94,"에피소드, 판타지",0,숲속의 젊은 부부와 어느 날 그들에게 찾아온정체불명의 아이들이 만들어가는 즐겁고 신묘한 일상,"['일상', '신묘', '정체불명', '불명', '아이', '부부']",0
삼국지톡,무적핑크 / 이리,9.94,"에피소드, 시대극",0,"""유비, 조조, 손권 등 영웅들이 활약하던 후한, 그 난세에 핸드폰이 있었다면?메신저로 소통하고, 개인 방송으로 군사를 모집한다! 이제껏 보지 못한 완전히 새로운 삼국지!""","['군사', '메신저', '방송', '활약', '난세', '모집', '개인', '조조', '영웅', '삼국지', '소통', '핸드폰']",0
약한영웅,서패스 / 김진석,9.9,"에피소드, 액션",0,"선천적으로 약한 소년이두뇌와 도구, 심리를 이용하여 싸운다.이제 그의 또 다른 이름은 '은장백사'다.","['백사', '심리', '이름', '선천적', '선천', '이용', '두뇌', '소년', '도구']",0
겟백,세윤,9.98,"에피소드, 드라마",0,"7년 전, 운명이 뒤바뀐 소녀들. 태어날 때 부터 타고난 능력을 지닌 다정과 그런 천재가 부러웠던 언니 은정.  그렇게 하루 하루가 지옥이었다!","['은정', '언니', '천재', '다정', '지옥', '소녀', '운명', '하루', '능력']",0
칼가는 소녀,오리,9.97,"에피소드, 드라마",0,치사율 100%의 인싸 희귀병 소녀 '사랑'누구보다 차분하고 두려움 없는 같은 반 소녀 '은조'두 소녀가 가슴 속 칼을 품고 세상을 향한 복수를 꿈꾼다.네이버웹툰 최강자전 18년 대표작.,"['두려움', '치사율', '사랑', '대표작', '복수', '최강', '최강자', '가슴', '소녀', '희귀', '세상']",0
