idx,name,score,writer,age_limit,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,keywords
1182,무지개다리 파수꾼,9.87,이서,0,0,0,0,0,0,0,1,0,0,0,0,0,"['동물', '한철', '성공', '수의사', '유명', '전부', '소리']"
1183,서천화원,9.66,곡,0,0,0,0,0,0,0,0,1,0,0,0,0,"['공주', '운명', '모험', '좌충우돌', '개척', '로맨스']"
1184,봄날의 팔광,9.58,우표,0,0,0,0,0,1,0,0,1,0,0,0,0,"['로맨스', '달님', '지상', '판타지', '선녀', '싸가지', '최대']"
1185,뱀파이어님의 대리식사,9.46,웬즈데이,0,0,0,0,0,1,0,0,1,0,0,0,0,"['대학생', '생활', '동거', '시영', '뱀파이어']"
1186,현세이의 보이는 라디오,9.88,부족,0,0,0,1,0,0,0,1,0,0,0,0,0,"['일상', '리머', '현세', '소통']"
1187,강호표사,9.76,OZi,0,0,0,0,0,0,1,0,0,0,0,0,0,"['사부', '속물', '무영', '협객', '사항', '희망']"
1188,사귄 건 아닌데,9.88,민홍,0,0,0,0,0,0,0,1,1,0,0,0,0,['첫사랑']
1189,하나밖에 안 보여!,9.88,샌도,0,0,0,0,0,0,0,0,1,0,0,0,1,"['하나', '프로젝트', '만들기', '미소년', '친구', '햇살']"
1190,쓰레기 머학생,7.74,수레기,0,0,0,1,0,0,0,0,0,0,0,0,1,"['대학생', '일상', '쓰레기', '수학']"
1191,흑우,9.66,늙슬,0,0,0,0,0,0,0,1,0,1,0,0,0,"['사기극', '탐욕', '호구', '주식', '몸부림']"
1192,타원을 그리는 법,9.88,섬멍,0,0,0,0,0,0,0,1,0,1,0,0,0,"['예기', '민성', '사건', '연애', '비밀']"
1193,교수님을 빚는 중,9.84,서아,0,0,0,0,0,0,0,1,1,0,0,0,0,"['보컬', '수업', '교수', '교수님', '수강생']"
1194,조류공포증,9.8,조눈/리도,0,0,0,0,0,0,0,0,0,1,0,0,0,"['돌연변이', '공포증', '가족', '조류']"
1195,이대로 멈출 순 없다,9.88,골왕,0,0,0,0,1,0,0,0,0,0,0,0,1,"['막장', '정문', '문제아', '최악', '학교', '쓰레기', '여상', '사상']"
1196,그라티아,9.58,기현,0,0,0,0,0,1,1,0,0,0,0,0,0,"['시스트', '소녀']"
1197,NR 뉴월드,9.75,전상영,0,0,0,0,0,1,1,0,0,0,0,0,0,"['활극', '라마', '액션', '오리', '세상']"
1198,일단 질러! 질렐루야,9.6,yami ,0,0,0,1,1,0,0,0,0,0,0,0,0,"['소한', '생활', '오라', '세계', '지름']"
1199,트레이스,9.79,고영훈,0,0,0,0,0,1,1,0,0,0,0,0,0,"['트레이스', '트러블', '생존', '싸움']"
1200,오무라이스 잼잼,8.85,조경규,0,0,0,1,1,0,0,0,0,0,0,0,0,"['최선', '세상', '조경']"
1201,개목걸이,9.3,만두,0,0,0,0,0,0,1,0,0,0,0,0,1,"['사정', '싸움판', '소년', '저마다']"
1202,신랑이 사라졌다,9.83,방자,0,0,0,0,0,0,0,1,1,0,0,0,0,"['톱스타', '사랑', '분투', '고군분투', '신랑', '고군']"
1203,화목한 가족,9.8,서늬,0,0,0,0,0,0,0,1,0,0,0,0,1,"['전학생', '변화', '영진', '의미', '비밀', '만남', '유은']"
1204,악마의 편집,9.7,건초,0,0,0,0,0,0,0,0,0,1,0,0,0,"['진실', '사건', '편집', '유명', '방송인', '살인', '인터넷']"
1205,대선비쇼에 어서오세요!,9.62,아람,0,0,0,0,1,0,0,1,0,0,0,0,0,"['졸업', '지망생', '방송', '선수', '유도', '지망']"
1206,사랑하는 존재,9.89,향유 크리에이티브,0,0,0,0,0,0,0,1,1,0,0,0,0,"['소유', '이식', '남자애', '아빠', '수술', '심장']"
1207,비밀 사이,9.89,맥퀸스튜디오,0,0,0,0,0,0,0,1,1,0,0,0,0,"['회사', '로맨스']"
1208,아싸클럽,9.66,랑쓰,0,0,0,0,0,0,0,1,1,0,0,0,0,"['클럽', '가능', '성장', '가입', '친구', '수상', '스토리', '동아리']"
1209,너를 만나다,9.88,다노아,0,0,0,0,0,0,0,0,1,0,0,0,1,"['변화', '나의']"
1210,뱀파이어 신드롬,9.2,이충호,0,0,0,0,0,1,1,0,0,0,0,0,0,"['복수', '뱀파이어']"
1211,화폐개혁,9.62,임정호,0,0,0,0,0,0,0,1,0,1,0,0,0,"['유일한', '바닥', '최하층', '밑바닥', '기회', '상속', '최하']"
1212,그녀의 앵무새,9.92,금계수,0,0,0,0,0,0,0,1,1,0,0,0,0,"['정체불명', '은행원', '추구', '상극', '이상적', '이상', '현실', '실적', '앵무새', '불명']"
1213,닥터 파인의 하루,9.88,김용회,0,0,0,0,0,1,0,1,1,0,0,0,0,"['수거', '영혼', '구역', '사랑', '망자']"
1214,단두 (斷頭),9.79,이동욱,1,0,0,0,0,0,1,0,0,0,0,0,0,"['부모님', '부모', '단영', '성장', '고전', '여정', '원수', '복수', '오누이', '분투']"
1215,해오와 사라,9.92,송송이,0,0,0,0,0,1,0,1,0,0,0,0,0,"['바다', '해녀', '특별', '인연', '인어']"
1216,"신성한, 이혼",9.82,강태경,0,1,0,0,0,0,0,1,0,0,0,0,0,"['이혼', '치열', '소송', '결혼', '싸움']"
1217,멸종인간,9.83,디디,0,0,0,0,0,0,0,0,0,1,0,0,0,"['멸종', '인류', '분투', '고군분투', '생존', '관찰', '고군']"
1218,우리집이거든요!,9.5,공룡,0,0,0,0,0,0,0,1,1,0,0,0,0,"['인생', '정체', '은우', '거액', '예정', '녀석', '상속']"
1219,학교대표,8.79,동훈,0,0,0,0,0,0,0,0,0,0,0,1,1,"['도전', '축구', '전기', '진화', '천재']"
1220,미래의 너에게,9.88,정은,0,0,0,0,0,1,0,0,1,0,0,0,0,"['학원', '미래', '친구', '소녀', '로맨스']"
1221,아비무쌍,9.89,이현석,0,0,0,0,0,1,1,0,0,0,0,0,0,"['하늘', '아비']"
1222,지옥사원,9.88,캐러멜,0,0,0,0,0,1,0,1,0,0,0,0,0,"['위협', '사회', '적응', '적응기', '존재', '악마']"
1223,왕 그리고 황제,9.89,정이리이리,0,0,0,0,1,0,0,1,0,0,0,0,0,"['고종', '태종', '조선', '영혼']"
1224,딩스뚱스,9.78,딩스,0,0,0,1,1,0,0,0,0,0,0,0,0,"['타지', '토종', '한국인', '헤딩']"
1225,수린당 -비늘 고치는 집-,9.96,일링스,0,0,0,0,0,1,0,1,0,0,0,0,0,"['필요', '운명', '축복', '여정', '자매']"
1226,미드나잇 블루,9.81,보보군,0,0,0,0,0,0,0,1,1,0,0,0,0,"['쟁취', '이상', '현실', '자존심', '싸움']"
1227,2020 전남콘랩 웹툰 창작 아카데미,9.63,전남콘텐츠코리아랩,0,0,0,0,0,0,0,1,0,0,0,0,0,['지금']
1228,악녀의 탄생,9.82,TB,0,0,0,0,0,1,0,0,1,0,0,0,0,"['재산', '선택', '한순간']"
1229,두번째 썸,9.72,비아이,0,0,0,0,0,0,0,0,1,0,0,0,0,"['남친', '소리']"
1230,저승사자 온라인,8.79,쑨,0,0,0,0,0,1,1,0,0,0,0,0,0,"['게임', '영혼', '저승사자', '소녀', '인도']"
1231,CELL,9.9,강형규,0,0,0,0,0,0,1,0,0,0,0,0,1,"['예측', '쓸모', '초능력', '청춘', '불가', '희망']"
1232,아버지의 복수는 끝이 없어라,9.87,강태진,0,0,0,0,0,0,0,1,0,1,0,0,0,"['비극', '복수', '할머니', '아버지']"
1233,노력의 卍(만),9.69,행자,0,0,0,0,0,1,1,0,0,0,0,0,0,"['지배', '천중', '오력', '최정상', '여정', '세상']"
1234,죽어도! 치우,9.76,만백,0,0,0,0,0,1,1,0,0,0,0,0,0,"['치우', '모험', '성장', '모험기']"
1235,용의주도 황비,9.54,산맡,0,0,0,0,0,1,0,0,1,0,0,0,0,"['백룡', '최강자', '세계관', '강자', '아내', '폭군']"
1236,금수친구들,9.24,짤태식,0,0,0,1,1,0,0,0,0,0,0,0,0,"['동물', '라이프', '사고', '뭉치', '가난', '사고뭉치', '시대', '조선', '처절', '나무꾼', '집사']"
1237,설공찬전,9.84,YSE,0,0,0,0,0,0,0,1,1,0,0,0,0,"['소설', '로맨스', '미스터리', '공찬', '아랫집']"
1238,말하지 말까,9.91,마루,0,0,0,0,0,0,0,1,1,0,0,0,0,"['필요', '향기', '첫사랑', '한마리', '기억']"
1239,하나하나둘,9.92,고은,0,0,0,0,0,0,0,1,1,0,0,0,0,"['유령', '과거', '미래', '남편', '기억']"
1240,콜로세움,9.81,한큰빛,0,0,0,0,0,0,1,0,0,1,0,0,0,"['압도적', '특별', '거대', '압도']"
1241,키스해주세요,9.86,산다하,0,0,0,0,0,0,0,1,1,0,0,0,0,"['생존', '계약', '비밀', '키스']"
1242,우리가 사랑하는 방법,9.92,기비,0,0,0,0,0,0,0,0,1,0,0,0,0,"['아이', '마음']"
1243,우리학교 김선생님,9.94,복슬,0,0,0,0,0,0,0,1,1,0,0,0,0,"['수지', '교사', '선우', '선생님', '명의', '초보', '완벽']"
1244,후크,9.79,나진수,0,0,0,0,0,1,1,0,0,0,0,0,0,"['혁명', '몰락', '전쟁', '공학자', '마법사']"
1245,쌍갑포차,9.95,배혜수,0,0,0,0,0,1,0,1,0,0,0,0,0,"['의문', '대한민국', '포장마차', '우수', '대상', '수상']"
1246,이게뭐야,8.28,지지,1,0,0,0,1,0,0,0,0,0,0,0,0,[]
1247,블랙 베히모스,9.84,케이지콘,0,0,0,0,0,1,1,0,0,0,0,0,0,"['전투', '주인공', '도전', '리스', '시험']"
1248,창백한 말,9.2,추혜연,0,0,0,0,0,1,0,0,1,0,0,0,0,"['프랑스', '핏빛', '운명', '마녀', '소녀']"
1249,백로식당,9.92,이나이,0,0,0,0,0,1,0,1,0,0,0,0,0,"['만신', '식당', '요리', '백로', '특별', '음식']"
1250,러브 스트리밍,9.35,권다희,1,0,0,0,0,0,0,1,0,1,0,0,0,"['인생', '요즘', '다운', '실시간', '사랑', '전부']"
1251,함께 춤을,9.68,도연,0,0,0,0,0,0,0,0,1,0,0,0,0,"['파트너', '우승', '운명', '댄스']"
1252,백의사자,9.87,체사,0,0,0,0,0,1,0,0,0,0,0,0,0,"['소년', '세상', '사자']"
1253,시간이 머문 집,9.83,헤고,0,0,0,0,0,1,1,0,0,0,0,0,0,"['아무것', '아저씨', '더러운', '학대', '성격', '소녀', '세상']"
1254,마이셀프,9.7,기행,0,0,0,0,0,0,0,0,0,1,0,0,0,"['위협', '인기', '사투', '예림', '아픔']"
1255,록산,9.9,백작,0,0,0,0,0,0,0,0,0,1,0,0,0,"['밀리', '죽음', '통째', '막시', '어머니']"
1256,논현동 장사꾼,9.7,구김,0,0,0,0,0,0,0,1,0,0,0,0,0,"['제자', '장사', '할머니']"
1257,중고거래,9.14,주명,0,0,0,0,0,0,0,0,0,1,0,0,0,"['구매', '택배', '도착', '거래', '이득', '중고', '극한', '상자', '마음']"
1258,살어리랏다,9.5,김민소,1,0,0,0,0,0,0,0,0,1,0,0,0,"['공개', '생존', '청산']"
1259,고교호구왕,9.77,슥수,0,0,0,0,0,0,0,0,0,0,0,1,1,"['왕따', '검도', '만인', '성장', '선수', '호구']"
1260,스타의 학교생활,9.78,올챙구리,0,0,0,0,0,0,0,0,1,0,0,0,1,"['출연', '관찰', '스타', '비호', '예능', '리얼', '국민', '호감']"
1261,냥냐라냥냥,9.69,손달섭,0,0,0,1,1,0,0,0,0,0,0,0,0,"['다큐멘터리', '고양이', '좌충우돌', '집사']"
1262,옆집남자,9.74,임수영,0,0,0,0,0,0,0,1,1,0,0,0,0,"['생계', '지망생', '청춘', '가운데', '지망', '로맨스']"
