Unnamed: 0,제목,작가,평점,연령,장르,카테고리,한줄 스토리,스토리 키워드,학원물
0,무지개다리 파수꾼,"['이서', '이서']",9.872841444270016,0,['드라마'],"['반려동물', '동물', '의학', '스토리']","돈과 성공만을 전부로 알던 유명 수의사 한철은, 어느 날 동물들의 소리를 들을 수 있게 되는데...","['동물', '한철', '성공', '수의사', '유명', '전부', '소리']",0
1,서천화원,"['곡', '마하로']",9.666211293260474,0,['순정'],"['궁', '썸', '의학', '스토리']",자신의 운명을 스스로 개척하기 위해 궁을 벗어난 공주님의 좌충우돌 모험 로맨스,"['공주', '운명', '모험', '좌충우돌', '개척', '로맨스']",0
2,봄날의 팔광,"['우표', '우표']",9.580946638528793,0,"['순정', '판타지']","['연애', '전래동화', '사랑', '스토리']","'해와 달' 속 달님, 천방지축 선녀와 지상 최대 싸가지 남자가 펼치는 판타지 로맨스!","['로맨스', '달님', '지상', '판타지', '선녀', '싸가지', '최대']",0
3,뱀파이어님의 대리식사,"['웬즈데이', '멜리']",9.460062893081759,0,"['순정', '판타지']","['뱀파이어', '동거', '먹방', '스토리']",대학생 시영이와 외로운 뱀파이어의 심쿵 먹방 동거생활!,"['대학생', '생활', '동거', '시영', '뱀파이어']",0
4,현세이의 보이는 라디오,"['부족', '이제환']",9.887672996459607,0,"['드라마', '일상']","['질병', '사랑', '성장드라마', '학원', '스토리']",스트리머 현세이의 일상 소통 이야기,"['일상', '리머', '현세', '소통']",0
5,강호표사,"['OZi', 'OZi']",9.763334650335837,0,"['무협', '액션']","['무림', '소박한 꿈', '영웅', '스토리']",칼퇴를 꿈꾸는 속물 표사 무영! 하지만 사부님의 희망사항은? '협객이 되어라!',"['사부', '속물', '무영', '협객', '사항', '희망']",0
6,사귄 건 아닌데,"['민홍', '민홍']",9.889070763031985,0,"['순정', '드라마']","['첫사랑', '연애', '스토리']","스무 살, 이루지 못했던 첫사랑과 스물아홉에 다시 만났다. 이번엔 그 때와 다를 수 있을까?",['첫사랑'],0
7,하나밖에 안 보여!,"['샌도', '샌도']",9.88836617927527,0,"['순정', '학원']","['학교생활', '연애', '첫사랑', '스토리']",햇살 같은 하나와 음침 미소년 창욱이의 친구 만들기 프로젝트!,"['하나', '프로젝트', '만들기', '미소년', '친구', '햇살']",0
8,쓰레기 머학생,"['수레기', '수레기']",7.741585597674159,0,"['일상', '학원']","['대학생', '게임', '캠퍼스', '병맛', '에피소드']",다소 쓰레기 같은 대학생 작가의 일상을 다룬 만화. 수학을 싫어합니다.,"['대학생', '일상', '쓰레기', '수학']",0
9,흑우,"['늙슬', '유베테']",9.662745098039217,0,"['스릴러', '드라마']","['주식', '돈', '사기', '스토리']","탐욕을 향한 호구들의 몸부림, 그리고 펼쳐지는 대 주식사기극","['사기극', '탐욕', '호구', '주식', '몸부림']",0
10,타원을 그리는 법,"['섬멍', '섬멍']",9.886524822695037,0,"['드라마', '미스터리']","['GL', '권력', '성장드라마', '집착', '스토리']","너무 다른 두 사람의 연애 3년, 민성의 비밀은 두 사람을 예기치 못 한 사건에 휘말리게 한다.","['예기', '민성', '사건', '연애', '비밀']",0
11,교수님을 빚는 중,"['서아', '서아']",9.844249201277957,0,"['순정', '드라마']","['캠퍼스', '대학생', '성장드라마', '음악', '스토리']","내가 가르치는 보컬수업에, 우리 과 교수님이 수강생으로 들어왔다.","['보컬', '수업', '교수', '교수님', '수강생']",0
12,조류공포증,"['조눈/리도', '조눈/리도']",9.803480348034805,0,"['스릴러', '공포']","['돌연변이', '가족', '새', '스토리']",조류공포증이 있는 철민이 돌연변이 새들과 하르퓌아로부터 가족을 지키는 이야기,"['돌연변이', '공포증', '가족', '조류']",0
13,이대로 멈출 순 없다,"['골왕', '자룡']",9.883551881413911,0,"['코믹', '학원']","['학교생활', '청춘', '친구', '스토리']"," 사상 최악의 막장 쓰레기 문제아 학교, 정문여상에서 살아남기!","['막장', '정문', '문제아', '최악', '학교', '쓰레기', '여상', '사상']",1
