idx,name,score,writer,age_limit,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,keywords
1,인생존망,9.85,박태준,0,1,0,0,0,0,1,0,0,0,0,0,1,"['인생', '학교', '내가', '한번']"
2,독립일기,9.97,자까,0,1,0,1,0,0,0,0,0,0,0,0,0,"['혼자', '처음']"
3,모죠의 일지,9.97,모죠,0,1,0,0,0,0,0,0,0,0,0,0,0,"['머릿속', '세포', '유미', '생각']"
4,한림체육관,9.72,혜성,0,1,0,0,1,0,0,0,0,0,0,0,0,"['소신', '취향', '비밀', '성향', '내성', '내성적']"
5,유미의 세포들,9.93,이동건,0,1,0,0,0,0,1,0,0,0,0,0,1,"['한림', '학원', '무도', '체육관', '실천', '영하', '액션물', '그릇', '진정', '세상']"
6,호랑이 들어와요,9.94,배세혁,0,1,0,0,0,1,0,0,0,0,0,0,0,"['일상', '신묘', '아이', '불명', '정체불명', '부부']"
7,삼국지톡,9.94,무적핑크,0,1,0,0,0,0,0,0,0,0,1,0,0,"['활약', '모집', '영웅', '메신저', '핸드폰', '개인', '방송', '군사', '삼국지', '조조', '소통', '난세']"
8,약한영웅,9.9,서패스,0,1,0,0,0,0,1,0,0,0,0,0,0,"['백사', '이름', '도구', '선천', '이용', '심리', '선천적', '소년', '두뇌']"
9,겟백,9.98,세윤,0,1,0,0,0,0,0,1,0,0,0,0,0,"['아티스트', '뮤즈', '메이크업', '얼굴', '천재', '대학생']"
10,칼가는 소녀,9.97,오리,0,1,0,0,0,0,0,1,0,0,0,0,0,"['하루', '다정', '언니', '지옥', '은정', '운명', '천재', '능력', '소녀']"
11,닥터앤닥터 육아일기,9.98,닥터베르,0,1,0,0,0,0,0,1,0,0,0,0,0,"['두려움', '사랑', '대표작', '가슴', '최강', '희귀', '최강자', '복수', '소녀', '세상', '치사율']"
12,나쁜사람,9.86,둠스,0,1,0,1,0,0,0,0,0,0,0,0,0,"['앞길', '아빠', '우여곡절', '의사', '엄마', '좌충우돌', '임신', '완벽', '논문', '박사', '육아', '발모제', '기반', '대로', '공학', '항문', '중구난방', '최고', '산부인과', '출산', '모제', '난방']"
13,화장 지워주는 남자,9.94,이연,0,1,0,0,1,0,0,0,0,0,0,0,0,"['노력', '동안', '오늘', '이상형', '이상']"
